	transcript	cluster0_Nolig	cluster0_Lig	cluster1_Nolig	cluster1_Lig	type	population_change
88	orf19.1435::TEF1	18.85	15.7	31.15	34.3	vivo_cov1000	6.300000000000004
56	orf19.5949::FAS2	36.9	33.75	13.1	16.25	vivo_cov1000	6.299999999999997
157	orf19.1052::orf19.1052	31.55	28.65	18.45	21.35	vivo_cov1000	5.800000000000004
202	orf19.3278::GSY1	21.15	18.25	28.85	31.75	vivo_dmso500	5.799999999999997
31	orf19.3575::CDC19	34.85	32.0	15.15	18.0	vivo_cov1000	5.700000000000003
185	orf19.3426::ANB1	23.65	20.85	26.35	29.15	vivo_cov1000	5.599999999999994
105	orf19.3579::ATP4	37.55	34.8	12.45	15.2	vivo_cov1000	5.5
3	orf19.1650::TOM6	27.35	24.65	22.65	25.35	vivo_cov1000	5.400000000000006
167	orf19.6286.2::RPS27	36.2	33.5	13.8	16.5	vivo_cov1000	5.400000000000006
163	orf19.6854::ATP1	15.5	12.8	34.5	37.2	vivo_cov1000	5.399999999999999
117	orf19.2179.2::RPS10	22.5	19.8	27.5	30.2	vivo_cov1000	5.399999999999999
200	orf19.3822::SCS7	34.55	31.85	15.45	18.15	vivo_dmso500	5.3999999999999915
201	orf19.3967::PFK1	25.35	22.7	24.65	27.3	vivo_dmso500	5.300000000000004
43	orf19.6085::RPL16A	39.0	36.35	11.0	13.65	vivo_cov1000	5.299999999999997
60	orf19.395::ENO1	31.3	28.7	18.7	21.3	vivo_cov1000	5.200000000000003
19	orf19.7312::ERG13	8.7	6.1	41.3	43.9	vivo_cov1000	5.199999999999999
184	orf19.5493::GSP1	24.8	22.3	25.2	27.7	vivo_cov1000	5.0
109	orf19.6312::RPS3	12.05	9.55	37.95	40.45	vivo_cov1000	5.0
25	orf19.4759::COX5	34.35	31.9	15.65	18.1	vivo_cov1000	4.900000000000006
40	orf19.4602::MDH1-1	24.6	22.15	25.4	27.85	vivo_cov1000	4.900000000000006
103	orf19.1854::HHF22	25.25	22.9	24.75	27.1	vivo_cov1000	4.700000000000003
61	orf19.236::RPL9B	15.9	13.55	34.1	36.45	vivo_cov1000	4.699999999999999
30	orf19.3888::PGI1	27.15	24.8	22.85	25.2	vivo_cov1000	4.699999999999996
45	orf19.4660::RPS6A	19.2	16.85	30.8	33.15	vivo_cov1000	4.699999999999996
90	orf19.1471::COX4	17.9	15.55	32.1	34.45	vivo_cov1000	4.699999999999996
68	orf19.827.1::RPL39	21.05	18.75	28.95	31.25	vivo_cov1000	4.600000000000001
137	orf19.2023::HGT7	30.2	27.9	19.8	22.1	vivo_cov1000	4.600000000000001
84	orf19.5334::orf19.5334	33.7	31.5	16.3	18.5	vivo_cov1000	4.400000000000006
191	orf19.4311::YNK1	25.3	23.1	24.7	26.9	vivo_cov1000	4.399999999999999
171	orf19.1860::LSC2	23.55	21.35	26.45	28.65	vivo_cov1000	4.399999999999999
24	orf19.667.1::RPL37B	23.2	21.0	26.8	29.0	vivo_cov1000	4.399999999999999
57	orf19.3324::TIF	30.35	28.2	19.65	21.8	vivo_cov1000	4.300000000000004
23	orf19.5117::OLE1	23.3	21.15	26.7	28.85	vivo_cov1000	4.300000000000004
150	orf19.3268::TMA19	15.3	13.2	34.7	36.8	vivo_cov1000	4.200000000000003
13	orf19.5854::SBP1	35.6	33.55	14.4	16.45	vivo_cov1000	4.1000000000000085
190	orf19.5294::PDB1	20.3	18.25	29.7	31.75	vivo_cov1000	4.100000000000001
156	orf19.5904::RPL19A	13.75	11.7	36.25	38.3	vivo_cov1000	4.100000000000001
189	orf19.968::PGA14	35.85	33.9	14.15	16.1	vivo_cov1000	3.9000000000000057
203	orf19.1738::UGP1	32.95	31.05	17.05	18.95	vivo_dmso500	3.8000000000000043
114	orf19.5305::RHD3	34.55	32.65	15.45	17.35	vivo_cov1000	3.799999999999997
77	orf19.840::RPL21A	41.35	39.5	8.65	10.5	vivo_cov1000	3.700000000000003
126	orf19.778::PIL1	12.25	10.45	37.75	39.55	vivo_cov1000	3.6000000000000014
2	orf19.5943.1::orf19.5943.1	5.45	3.65	44.55	46.35	vivo_cov1000	3.6000000000000005
154	orf19.2765::PGA62	36.3	34.5	13.7	15.5	vivo_cov1000	3.5999999999999943
1	orf19.5213.2::COX9	42.65	40.9	7.35	9.1	vivo_cov1000	3.5
174	orf19.1061::HHT21	12.15	10.4	37.85	39.6	vivo_cov1000	3.5
164	orf19.1059::HHF1	31.35	29.65	18.65	20.35	vivo_cov1000	3.4000000000000057
165	orf19.3010.1::ECM33	39.45	37.75	10.55	12.25	vivo_cov1000	3.4000000000000057
76	orf19.5437::RHR2	13.15	11.45	36.85	38.55	vivo_cov1000	3.400000000000002
134	orf19.5225.2::RPL27A	18.5	16.8	31.5	33.2	vivo_cov1000	3.3999999999999986
173	orf19.7398.1::TSA1B	27.05	25.4	22.95	24.6	vivo_cov1000	3.3000000000000043
11	orf19.1770::CYC1	33.75	32.15	16.25	17.85	vivo_cov1000	3.200000000000003
96	orf19.903::GPM1	33.65	32.05	16.35	17.95	vivo_cov1000	3.200000000000003
199	orf19.5642::orf19.5642	43.35	41.75	6.65	8.25	vivo_dmso500	3.200000000000003
128	orf19.2439.1::orf19.2439.1	29.45	27.85	20.55	22.15	vivo_cov1000	3.1999999999999957
16	orf19.4490.2::QCR8	21.2	19.65	28.8	30.35	vivo_cov1000	3.1000000000000014
166	orf19.3789::RPL24A	34.9	33.35	15.1	16.65	vivo_cov1000	3.0999999999999943
181	orf19.2992::RPP1A	44.05	42.55	5.95	7.45	vivo_cov1000	3.0
55	orf19.2478.1::orf19.2478.1	14.35	12.85	35.65	37.15	vivo_cov1000	3.0
75	orf19.6975::YST1	9.85	8.4	40.15	41.6	vivo_cov1000	2.8999999999999986
130	orf19.6403.1::RPP2A	33.8	32.35	16.2	17.65	vivo_cov1000	2.8999999999999915
133	orf19.5788::EFT2	44.4	42.95	5.6	7.05	vivo_cov1000	2.8999999999999915
196	orf19.2841::PGM2	12.5	11.1	37.5	38.9	vivo_dmso500	2.8000000000000007
86	orf19.3002::RPS1	38.05	36.65	11.95	13.35	vivo_cov1000	2.799999999999997
50	orf19.5858::EGD2	25.95	24.55	24.05	25.45	vivo_cov1000	2.799999999999997
8	orf19.838.1::RPS9B	29.25	27.85	20.75	22.15	vivo_cov1000	2.799999999999997
82	orf19.5285::PST3	18.8	17.45	31.2	32.55	vivo_cov1000	2.700000000000003
115	orf19.6540::PFK2	14.9	13.55	35.1	36.45	vivo_cov1000	2.6999999999999993
44	orf19.6367::SSB1	16.3	15.0	33.7	35.0	vivo_cov1000	2.6000000000000014
147	orf19.5964.2::RPL35	8.5	7.2	41.5	42.8	vivo_cov1000	2.5999999999999996
160	orf19.7600::FDH3	15.15	13.9	34.85	36.1	vivo_cov1000	2.5
144	orf19.5341::RPS4A	11.2	10.0	38.8	40.0	vivo_cov1000	2.3999999999999986
38	orf19.6924::HTA1	27.9	26.7	22.1	23.3	vivo_cov1000	2.3999999999999986
110	orf19.5928::RPP2B	12.35	11.2	37.65	38.8	vivo_cov1000	2.3000000000000007
0	orf19.4631::ERG251	36.5	35.4	13.5	14.6	vivo_cov1000	2.200000000000003
62	orf19.542::HXK2	31.35	30.25	18.65	19.75	vivo_cov1000	2.200000000000003
49	orf19.2329.1::RPS17B	22.95	21.85	27.05	28.15	vivo_cov1000	2.1999999999999957
159	orf19.7188::RPP1B	24.95	23.85	25.05	26.15	vivo_cov1000	2.1999999999999957
123	orf19.7571::UBC4	31.4	30.35	18.6	19.65	vivo_cov1000	2.0999999999999943
35	orf19.1354::UCF1	46.25	45.2	3.75	4.8	vivo_cov1000	2.0999999999999943
52	orf19.3997::ADH1	38.9	37.85	11.1	12.15	vivo_cov1000	2.0999999999999943
116	orf19.1470::RPS26A	26.4	25.35	23.6	24.65	vivo_cov1000	2.0999999999999943
161	orf19.5201.1::orf19.5201.1	33.8	32.75	16.2	17.25	vivo_cov1000	2.0999999999999943
65	orf19.1467::COX13	15.6	14.6	34.4	35.4	vivo_cov1000	2.0
85	orf19.5007::ACT1	22.1	21.1	27.9	28.9	vivo_cov1000	2.0
10	orf19.6059::TTR1	32.35	31.4	17.65	18.6	vivo_cov1000	1.9000000000000057
139	orf19.5114.1::orf19.5114.1	34.45	33.5	15.55	16.5	vivo_cov1000	1.9000000000000057
172	orf19.3690.2::orf19.3690.2	13.65	12.7	36.35	37.3	vivo_cov1000	1.9000000000000021
81	orf19.3358::LSC1	16.85	15.9	33.15	34.1	vivo_cov1000	1.9000000000000021
102	orf19.339::NDE1	8.3	7.35	41.7	42.65	vivo_cov1000	1.9000000000000021
58	orf19.6785::RPS12	6.4	5.45	43.6	44.55	vivo_cov1000	1.9000000000000004
136	orf19.2864.1::RPL28	25.7	24.75	24.3	25.25	vivo_cov1000	1.8999999999999986
119	orf19.3097::PDA1	13.2	12.25	36.8	37.75	vivo_cov1000	1.8999999999999986
29	orf19.670::SMT3	19.1	18.2	30.9	31.8	vivo_cov1000	1.8000000000000043
94	orf19.6220.4::orf19.6220.4	37.85	36.95	12.15	13.05	vivo_cov1000	1.7999999999999972
106	orf19.4375.1::RPS30	36.6	35.7	13.4	14.3	vivo_cov1000	1.7999999999999972
63	orf19.5927::RPS15	16.9	16.0	33.1	34.0	vivo_cov1000	1.7999999999999972
98	orf19.2111.2::RPL38	31.95	31.1	18.05	18.9	vivo_cov1000	1.6999999999999957
4	orf19.4826::IDH1	32.55	31.7	17.45	18.3	vivo_cov1000	1.6999999999999957
183	orf19.1552::CPR3	4.1	3.3	45.9	46.7	vivo_cov1000	1.5999999999999996
72	orf19.5076::PFY1	14.7	13.9	35.3	36.1	vivo_cov1000	1.5999999999999979
91	orf19.5597.1::orf19.5597.1	16.7	15.9	33.3	34.1	vivo_cov1000	1.5999999999999979
15	orf19.4879.2::NTF2	19.15	18.35	30.85	31.65	vivo_cov1000	1.5999999999999943
74	orf19.1082.1::orf19.1082.1	31.75	31.0	18.25	19.0	vivo_cov1000	1.5
59	orf19.382::TEF2	20.95	20.2	29.05	29.8	vivo_cov1000	1.5
168	orf19.3294::MBF1	6.75	6.0	43.25	44.0	vivo_cov1000	1.5
145	orf19.5024::GND1	33.6	32.85	16.4	17.15	vivo_cov1000	1.5
142	orf19.4193.1::RPS13	10.85	10.1	39.15	39.9	vivo_cov1000	1.5
9	orf19.804.1::orf19.804.1	32.0	31.25	18.0	18.75	vivo_cov1000	1.5
27	orf19.7611::TRX1	18.3	17.55	31.7	32.45	vivo_cov1000	1.5
148	orf19.3415.1::RPL32	13.05	12.35	36.95	37.65	vivo_cov1000	1.4000000000000021
17	orf19.6882.1::orf19.6882.1	15.55	14.85	34.45	35.15	vivo_cov1000	1.4000000000000021
192	orf19.5288::IFE2	34.3	33.6	15.7	16.4	vivo_dmso500	1.3999999999999915
104	orf19.5419::ATP5	26.8	26.15	23.2	23.85	vivo_cov1000	1.3000000000000043
48	orf19.7382::CAM1	39.35	38.7	10.65	11.3	vivo_cov1000	1.2999999999999972
93	orf19.1154::EGD1	36.15	35.5	13.85	14.5	vivo_cov1000	1.2999999999999972
135	orf19.7043.1::ACB1	28.85	28.25	21.15	21.75	vivo_cov1000	1.2000000000000028
73	orf19.7509.1::ATP17	13.65	13.05	36.35	36.95	vivo_cov1000	1.1999999999999993
121	orf19.6265::RPS22A	13.1	12.5	36.9	37.5	vivo_cov1000	1.1999999999999993
111	orf19.7048.1::RPS28B	8.4	7.85	41.6	42.15	vivo_cov1000	1.1000000000000014
51	orf19.5653::ATP2	14.5	13.95	35.5	36.05	vivo_cov1000	1.1000000000000014
101	orf19.3465::RPL10A	3.25	2.7	46.75	47.3	vivo_cov1000	1.0999999999999996
125	orf19.3788.1::RPL30	5.75	5.2	44.25	44.8	vivo_cov1000	1.0999999999999996
83	orf19.2232::RPL11	27.65	27.1	22.35	22.9	vivo_cov1000	1.0999999999999943
32	orf19.3590::IPP1	37.2	36.7	12.8	13.3	vivo_cov1000	1.0
22	orf19.4336::RPS5	40.5	40.0	9.5	10.0	vivo_cov1000	1.0
21	orf19.1601::RPL3	37.55	37.05	12.45	12.95	vivo_cov1000	1.0
26	orf19.6452::RBP1	13.85	13.35	36.15	36.65	vivo_cov1000	1.0
131	orf19.2529.1::orf19.2529.1	39.85	39.4	10.15	10.6	vivo_cov1000	0.9000000000000057
152	orf19.873.1::COX6	16.95	16.5	33.05	33.5	vivo_cov1000	0.8999999999999986
112	orf19.1409.1::orf19.1409.1	18.75	18.3	31.25	31.7	vivo_cov1000	0.8999999999999986
95	orf19.5466::RPS24	35.55	35.1	14.45	14.9	vivo_cov1000	0.8999999999999915
47	orf19.3838::EFB1	32.3	31.85	17.7	18.15	vivo_cov1000	0.8999999999999915
107	orf19.3087::UBI3	40.05	39.6	9.95	10.4	vivo_cov1000	0.8999999999999915
170	orf19.1635::RPL12	8.8	8.4	41.2	41.6	vivo_cov1000	0.8000000000000007
5	orf19.2107.1::STF2	13.8	13.4	36.2	36.6	vivo_cov1000	0.8000000000000007
92	orf19.3942.1::RPL43A	7.1	6.7	42.9	43.3	vivo_cov1000	0.7999999999999989
197	orf19.406::ERG1	35.9	35.5	14.1	14.5	vivo_dmso500	0.7999999999999972
132	orf19.2762::AHP1	21.5	21.15	28.5	28.85	vivo_cov1000	0.7000000000000028
113	orf19.1051::HTA2	28.05	27.7	21.95	22.3	vivo_cov1000	0.7000000000000028
12	orf19.7018::RPS18	23.85	23.5	26.15	26.5	vivo_cov1000	0.7000000000000028
33	orf19.3223::ATP3	36.1	35.75	13.9	14.25	vivo_cov1000	0.7000000000000028
127	orf19.2707.1::QCR9	5.25	4.9	44.75	45.1	vivo_cov1000	0.6999999999999993
177	orf19.4490::RPL17B	20.15	19.8	29.85	30.2	vivo_cov1000	0.6999999999999957
188	orf19.6771::UBI4	35.3	35.0	14.7	15.0	vivo_cov1000	0.5999999999999943
198	orf19.5078::OFR1	10.4	10.15	39.6	39.85	vivo_dmso500	0.5
20	orf19.1105.2::PGA56	14.0	13.75	36.0	36.25	vivo_cov1000	0.5
153	orf19.227::COX7	34.5	34.25	15.5	15.75	vivo_cov1000	0.5
79	orf19.2877::PDC11	9.45	9.2	40.55	40.8	vivo_cov1000	0.5
41	orf19.1853::HHT2	42.85	42.6	7.15	7.4	vivo_cov1000	0.5
151	orf19.2994::RPL13	41.8	41.55	8.2	8.45	vivo_cov1000	0.5
118	orf19.3391::ADK1	24.95	24.7	25.05	25.3	vivo_cov1000	0.5
108	orf19.2994.1::RPS16A	35.8	35.55	14.2	14.45	vivo_cov1000	0.5
87	orf19.7678::ATP16	30.1	29.9	19.9	20.1	vivo_cov1000	0.4000000000000057
176	orf19.1872::orf19.1872	36.25	36.05	13.75	13.95	vivo_cov1000	0.4000000000000057
66	orf19.2309.2::RPL2	12.55	12.35	37.45	37.65	vivo_cov1000	0.40000000000000213
187	orf19.5660.1::orf19.5660.1	24.5	24.3	25.5	25.7	vivo_cov1000	0.3999999999999986
53	orf19.1700::RPS7A	13.35	13.15	36.65	36.85	vivo_cov1000	0.3999999999999986
194	orf19.4947::orf19.4947	41.4	41.2	8.6	8.8	vivo_dmso500	0.3999999999999915
18	orf19.5006::GCV3	28.05	27.9	21.95	22.1	vivo_cov1000	0.30000000000000426
169	orf19.3707::YHB1	18.1	17.95	31.9	32.05	vivo_cov1000	0.30000000000000426
71	orf19.2935::RPL10	16.9	16.75	33.1	33.25	vivo_cov1000	0.29999999999999716
67	orf19.687.1::RPL25	19.5	19.4	30.5	30.6	vivo_cov1000	0.20000000000000284
162	orf19.6906::ASC1	21.2	21.1	28.8	28.9	vivo_cov1000	0.19999999999999574
37	orf19.6541::RPL5	47.3	47.2	2.7	2.8	vivo_cov1000	0.19999999999998863
39	orf19.6472::CYP1	46.35	46.3	3.65	3.7	vivo_cov1000	0.10000000000000853
89	orf19.4468::orf19.4468	34.45	34.4	15.55	15.6	vivo_cov1000	0.10000000000000853
195	orf19.3053::orf19.3053	18.25	18.2	31.75	31.8	vivo_dmso500	0.10000000000000142
6	orf19.6265.1::RPS14B	12.5	12.45	37.5	37.55	vivo_cov1000	0.10000000000000142
149	orf19.5491.1::ATP14	40.05	40.0	9.95	10.0	vivo_cov1000	0.09999999999999432
