	Unnamed: 0	gene	population_change	strgroup	id_x	homo_30C	homo_37C	transcript1_x	Name	halflife_x	halflife_y	cluster30_cluster37	fast_slow_37	Gene name	30TE	37TE	37/30 TE	TEgroup	id_y	Norm_reactivity_x	Norm_reactivity_y	gini_x	gini_y	GC_3UTR_seq	length	transcript1_y
70	70	RPL19A	4.100000000000001	structure_nochange	orf19.5904::RPL19A	0.5874344829158245	0.6952331558078741	orf19.5904	orf19.5904::RPL19A		20.0	Other:Decay	faster	RPL19A	1.255170525	0.852848492	0.679468227	Down	orf19.5904::RPL19A	0.3411116435074269	0.3095272320715541	0.4061247291077804	0.4145946438598863	27.43362831858407	113	orf19.5904
71	71	PGA14	3.9000000000000057	structure_nochange	orf19.968::PGA14		0.7637343660133233	orf19.968						PGA14	2.130523791	1.203679976	0.564969038	Down	orf19.968::PGA14					27.27272727272728	132	orf19.968
72	72	UGP1	3.800000000000004	structure_nochange	orf19.1738::UGP1		0.6967152835028525	orf19.1738						UGP1	1.156353722	1.153916705	0.997892498	Down	orf19.1738::UGP1					17.142857142857142	175	orf19.1738
73	73	RHD3	3.799999999999997	structure_nochange	orf19.5305::RHD3		0.6939445256936234	orf19.5305						RHD3	2.059556891	4.155652367	2.017740993	Up	orf19.5305::RHD3					22.52747252747253	182	orf19.5305
74	74	RPL21A	3.700000000000003	structure_nochange	orf19.840::RPL21A	0.6846219194138747	0.6376272842302484	orf19.840	orf19.840::RPL21A		20.0	Other:Decay	faster	RPL21A	0.85315717	0.772954006	0.90599251	Down	orf19.840::RPL21A	0.1579220571793643	0.1958233509024117	0.5987664870367205	0.5788664930067188	28.07017543859649	57	orf19.840
75	75	PIL1	3.6000000000000014	structure_nochange					orf19.778::PIL1	>120		Up:Other	faster	PIL1	1.627317834	1.297154771	0.797112121	Down	orf19.778::PIL1					21.2707182320442	362	orf19.778
76	76	orf19.5943.1	3.6000000000000005	structure_nochange	orf19.5943.1::orf19.5943.1	0.840208830768847	0.904263888887334	orf19.5943.1	orf19.5943.1::orf19.5943.1	40.0	20.0	Decay:Decay	faster						orf19.5943.1::orf19.5943.1	0.3979635840919981	0.4390233189586328	0.4066456586120161	0.4461092333434774	27.27272727272728	132	orf19.5943.1
77	77	PGA62	3.5999999999999943	structure_nochange	orf19.2765::PGA62	0.8163739141905983	0.8171828280019783	orf19.2765						PGA62	5.483114089	1.918026504	0.349806054	Down	orf19.2765::PGA62	0.3411116435074269	0.363220731512538	0.479071113677131	0.4257485867427025	20.526315789473685	380	orf19.2765
78	78	COX9	3.5	structure_nochange	orf19.5213.2::COX9	0.693864617407611	0.7675636591323827	orf19.5213.2	orf19.5213.2::COX9		20.0	Other:Decay	faster	COX9	0.822220961	1.329702726	1.617208499	Up	orf19.5213.2::COX9	0.3347947612202523	0.3600622903689506	0.4754948487660257	0.4354933725840634	24.875621890547265	201	orf19.5213.2
79	79	HHT21	3.5	structure_nochange	orf19.1061::HHT21	0.8987470455202514	0.7002919197880586	orf19.1061						HHT21	1.305006091	0.851083182	0.652167976	Down	orf19.1061::HHT21	0.2337246446254592	0.2842597029228557	0.518527648596703	0.539722089953028	22.641509433962263	106	orf19.1061
80	80	HHF1	3.4000000000000057	structure_nochange	orf19.1059::HHF1	0.6060301832623947	0.7132420808207918	orf19.1059						HHF1	0.766874539	0.439681784	0.573342524	Down	orf19.1059::HHF1	0.2021402331895863	0.1958233509024117	0.5572099347867108	0.5690109517738839	22.54901960784314	102	orf19.1059
81	81	ECM33	3.4000000000000057	structure_nochange					orf19.3010.1::ECM33		20.0	Other:Decay	faster	ECM33	1.232050527	1.031117344	0.836911573	Down	orf19.3010.1::ECM33					25.55555555555556	180	orf19.3010.1
82	82	RHR2	3.400000000000002	structure_nochange	orf19.5437::RHR2	0.7899899842285747	0.7915724070502247	orf19.5437						RHR2	1.457621145	1.235606265	0.847686842	Down	orf19.5437::RHR2	0.2274077623382846	0.22109088005111	0.5408864469226723	0.5075967770053686	25.51020408163265	98	orf19.5437
83	83	RPL27A	3.3999999999999986	structure_nochange	orf19.5225.2::RPL27A	0.6376780100152317	0.6771476223286792	orf19.5225.2	orf19.5225.2::RPL27A		20.0	Other:Decay	faster	RPL27A	0.557270087	0.702763871	1.261083069	Up	orf19.5225.2::RPL27A	0.3411116435074269	0.4137557898099345	0.4975782707654061	0.4330959405473793	30.43478260869565	138	orf19.5225.2
84	84	TSA1B	3.3000000000000043	structure_nochange	orf19.7398.1::TSA1B	0.6197117788917113	0.5277025129946328	orf19.7398.1	orf19.7398.1::TSA1B		>120	Other:Up	slower	TSA1B	1.642857143	0.208163265	0.126708075	Down	orf19.7398.1::TSA1B	0.2779428206356812	0.2747843794920939	0.5525497666186769	0.5520587017517569	25.714285714285715	70	orf19.7398.1
85	85	CYC1	3.200000000000003	structure_nochange										CYC1	1.387115738	1.446312791	1.042676361	Up	orf19.1770::CYC1					26.23574144486692	263	orf19.1770
86	86	GPM1	3.200000000000003	structure_nochange	orf19.903::GPM1	0.5396230874691247	0.4753665719821672	orf19.903						GPM1	1.540408628	1.069129293	0.694055638	Down	orf19.903::GPM1	0.3790129372304743	0.3790129372304743	0.4763330906532384	0.4113905431371483	23.728813559322035	59	orf19.903
87	87	orf19.5642	3.200000000000003	structure_nochange					orf19.5642::orf19.5642	>120		Up:Other	faster						orf19.5642::orf19.5642					30.48780487804878	82	orf19.5642
88	88	orf19.2439.1	3.199999999999996	structure_nochange	orf19.2439.1::orf19.2439.1	0.6415799636361295	0.6143109386132529	orf19.2439.1											orf19.2439.1::orf19.2439.1	0.2400415269126337	0.2747843794920939	0.4793096107235646	0.4537478352550735	18.181818181818183	132	orf19.2439.1
89	89	QCR8	3.1000000000000014	structure_nochange										QCR8	0.429658203	1.371170671	3.191305694	Up	orf19.4490.2::QCR8					20.87912087912088	182	orf19.4490.2
90	90	RPL24A	3.0999999999999943	structure_nochange	orf19.3789::RPL24A	0.8128292633456665	0.7583872679939473	orf19.3789	orf19.3789::RPL24A		20.0	Other:Decay	faster	RPL24A	0.794304443	0.573390223	0.721877144	Down	orf19.3789::RPL24A	0.3095272320715541	0.3190025555023159	0.5097222317752025	0.450911105298196	24.444444444444443	180	orf19.3789
